OTU_ID	sample_1544	sample_1552	sample_1827	sample_2208	sample_1800	sample_1575	sample_2147	sample_1812	sample_1811	sample_1451	sample_1300	sample_1728	sample_476	sample_1400	sample_676	sample_1663	sample_1388	sample_1495	sample_1576	sample_1284
P_32	2994355.695019954	2603015.0297080697	3211497.014397158	3422126.939446393	3528634.6990480497	3948833.818477878	2758208.636561335	4483382.562278982	5389613.427998054	4743691.857034174	4321957.325716546	3239234.388496784	0.0	3964647.6659242697	3456006.130280828	2709469.395440315	3472618.330882173	3794351.866950586	3806290.636217892	4315951.284003587
P_33	1069094.113995155	1368701.4328625654	1885363.7162337005	1926942.4249822565	2196684.156123542	2150607.1937051164	1754663.7621676628	1875338.9448560504	2076777.8775411027	2104929.9750417788	2150624.502999599	2233252.612592716	0.0	1628323.722991487	1763489.1660274724	1799544.6255657445	2328024.158957488	1728647.5014758955	1516473.521307645	1769091.5377305946
P_34	1459386.608733344	1474313.8017756806	1747480.1329639885	2311907.0026743067	2150722.0579602444	2025154.2909632367	1946523.1709013856	2126208.1558748228	2286732.7816843726	2265780.6472036387	2416659.441831766	2236501.9737691027	0.0	2037096.6740852264	1907396.8309791689	1633353.7165688714	2360477.8367602485	2248919.9355611447	2075151.9952146085	1805698.8504990432
P_35	1340749.3339926067	1773101.610126005	2429573.819427305	1981109.5078285448	2421600.751325183	1668065.1064208932	2297315.272106321	2635649.1607309286	2981915.0397922774	2760119.405813978	2506723.1747791125	2185202.1842732765	0.0	1947082.739915385	2075796.3515297056	3195986.900438699	3532278.7768236725	2325771.3750812504	1913761.4285581857	2442835.2737958995
P_36	2099872.335829826	2749772.618662992	1963031.6549817403	2247069.75908712	5149972.792973031	1810975.1617920888	3796085.732062315	2531470.5861729514	2766699.944665031	3102224.2412046627	3540648.615848477	3096572.7173674987	0.0	2362458.883178402	2686159.294102502	1936278.827530624	3332749.478719088	2095718.8950137089	2487345.033999067	3675072.058556032
P_37	1540572.2299486883	2085759.3170509303	3314411.503333081	2167207.073186852	3272413.3835638124	2603567.4981798106	2344484.732694831	3365820.296318184	3026391.9216982443	2754020.381167384	2868537.475828914	2407858.980844045	0.0	2358310.8298520697	2603743.197180889	2781799.0483385385	4190483.895605681	2577708.948764852	2066635.0217452105	2502266.05724178
P_38	1859670.7360487224	2295727.442022984	2141383.621568321	2470627.4928132086	3417317.5656361263	2022355.4401460704	2999569.813705155	3695632.990541496	3038762.8618785725	3210800.8527377443	3030971.1184720406	3479372.9850338143	0.0	3169173.8062138245	3456792.382951837	2957879.5658762488	3679711.612732984	2506669.771364556	1676285.058082515	3272101.117573225
P_39	2478652.871357685	2360398.075099	2316048.752623145	2786475.13874734	6307333.440242763	2231439.9978970257	3454854.231825923	3198706.278928478	3193814.740016721	3942964.769018789	3458727.589609325	3848698.920725269	0.0	2061587.8003314247	2862577.15472847	2187662.797404644	4214127.797901752	2591162.798805765	2350205.884109641	3839450.903561097
P_40	12721044.699862942	11395788.383490477	13309503.3212887	16037550.77293746	17310641.415507533	22152090.58597156	7515808.751020464	19554726.577672653	21271254.20256636	23803007.01404668	19295890.363867164	20985634.60326145	0.0	26122821.325747963	14987166.639606187	13116314.443729598	15572892.580860969	20658459.427663464	11382141.643594615	12975811.6651882
P_41	2003792.3239300689	2487217.4425424803	2726430.1177718164	3094760.386485408	3093431.0321449297	2914431.5768097825	2281767.425627447	2267288.53684577	3387496.24961632	2827648.018615531	2670881.4402234843	2577177.173477353	0.0	2309641.040181175	2328246.451791045	2207132.03393499	3146799.0160111967	2644185.053039821	2529976.4684032686	2461367.1629328444
P_42	1999247.080432181	1445881.3534970717	2435806.992710913	2585753.437970586	3880421.725593833	2597497.8257105025	2249085.861708164	2407986.1472435324	2973833.1874791835	2988498.127586721	2308122.506075025	2764171.3725127373	0.0	2138689.757702465	2228916.853382011	2310837.567412687	2835178.599797211	1744035.3115435282	1764448.0193540414	2283965.9910233654
P_43	4600676.803115322	3650583.9199053855	4309833.683570089	3686277.6533488175	5838237.7206735015	5537308.369697312	4140735.566194179	6988715.608029603	6819196.146126255	5869528.227318734	6740660.470857428	6462392.854152875	0.0	4826155.5827442985	4767632.227583173	3098983.183101119	5375454.4431197485	5346247.572120308	4397946.104949626	5609105.527270393
P_44	1917734.8706169736	1691375.6492684295	1917691.3442982244	2373220.289586991	4317315.204380841	2056841.110704432	3248534.5769585487	1937191.9127552705	2535914.962087348	2824591.493294638	2556626.0976452343	2521311.935518197	0.0	2015413.7028063808	2071800.343203876	1697388.3835140788	2311225.756708321	1611919.1575742618	1408124.352841289	2438636.349054352
P_45	3641373.172282115	5426844.576398874	5722763.808376492	4354732.407841492	6422930.217509573	4734589.562138843	5574217.341837904	7541114.153171616	6285797.950815695	7192762.427916142	5663950.506042317	4382378.401310079	0.0	4270588.55223194	4136364.698097821	10502893.726856818	9472609.71195165	3611739.620693116	4884303.909724279	6946391.386746108
P_46	2733276.788972322	2671144.7062678225	2494063.5105527625	3129618.5660296897	8010343.585447639	3325504.351358267	3768210.905315788	2655524.021385215	3474076.407487241	4577783.554410858	3681635.932549405	3404975.420076464	0.0	2729095.156534435	2727100.1466755457	2608850.3101777807	4374355.01587219	2675031.748683166	2427467.964336078	4029973.384184464
P_47	1319819.019471392	1386370.141660405	1359322.4212834225	1376634.0593341258	2198490.7937344136	1431668.5550088545	1883834.9306127871	1752265.840230928	1993067.978832955	2005396.2233126208	2231435.858284691	1976116.6212994792	0.0	1662164.2615539895	1679544.1686210984	1896845.46773954	2465672.662508891	1535010.1440346015	1361796.278958999	1786174.9781579142
P_48	10763377.204059333	12308277.137175962	9487719.811535014	9496785.443491591	10774754.576608676	14274919.742008615	11363972.065770991	21276460.06923716	14988008.251696516	11978879.005082252	12625826.64648745	10817918.561189655	0.0	7962804.770651848	7947587.366912133	16062549.508572184	17996870.623414375	10410345.659213675	11687428.403546048	14798833.48476973
P_49	75356673.53142934	35588737.5822294	89325064.7342499	108331589.17845832	82359670.48339427	89897971.79016168	74788422.67605636	104923232.0979158	70105025.93556632	83063157.5408784	52465459.88029216	46672536.66251818	0.0	50128683.08642272	49076251.8355579	52498492.55327559	58444653.56988542	49112057.41011302	31634887.89830873	47447484.34889787
P_50	1427974.225767834	1280538.594516188	2098487.3209677315	1673420.772271573	2594026.91617816	2013885.4443148773	1885461.2273249568	1980659.955434191	2201603.457846436	2042713.831324896	2069861.5105591216	2288118.234425889	0.0	1888699.993409929	1738838.3661137114	1661369.9278675504	2152473.751853964	1558135.9830208109	1723687.0930906464	1866769.270590345
P_51	6599827.909081836	14882548.040743813	8630081.386877216	9557339.867618898	12520679.825553538	5710270.14744096	11673468.204247383	20647638.41588257	9892767.069479326	11416097.34470566	15832194.587244691	13232384.21713074	0.0	15163626.320411429	17640459.740165446	9349969.211742427	12253374.605709922	11054422.981407924	7060049.656557413	14803290.098603832
P_52	1569223.3390353934	1379421.3013941278	2198091.14761403	1931430.3501066265	4054922.5405132417	1812502.7939428624	2447388.667789936	2235803.7474404857	2408303.278386678	2817381.4918035213	2134791.693619316	2136852.4608582854	0.0	1661258.9335863057	2073641.589176302	2150873.693289968	2431469.743785389	1572857.0517502248	1633328.9612092895	2169365.3968664124
P_53	2195971.18744317	3919498.723648707	2694850.117373493	3969392.6830899264	5251786.335117663	1977272.0536357025	3573577.506447756	5909761.386984367	3745944.506633956	3373492.2667544214	3894863.129882792	4106471.3778098766	0.0	2818671.1898991084	3771908.519454572	3722382.204818417	4546153.958658309	2719049.431460806	2279489.733666798	4212808.513928044
P_54	2475231.7601922275	3364255.113778903	5268971.359780658	3665833.838699927	3875227.95746516	2785395.921994477	3071279.6753891744	5433693.688906135	4820198.441783773	4702873.0021090135	5382532.3913230095	5419647.338896026	0.0	4369049.845872723	3690932.97372216	6432793.038376372	5701634.999520723	3927536.533680842	3429569.459773639	3852659.063921116
P_55	3471768.542699252	3892594.58299557	4848696.8404844245	4321107.558050984	3963989.994545527	5143082.5095468825	3798650.283984512	5654697.524369174	6305479.852945587	4668450.156790745	6593335.36824637	5865167.7969103	0.0	6164013.297624384	4661628.301278214	3621640.0726342034	5507532.809896185	4933384.197941744	4696551.356338516	4805828.716470046
